NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,TK,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SNPplate,Plate_POS,BOX_ID,DilPlate,SNPplateorder,SNPorder,DilSampleOrder,DNAbox,DNABoxSampleOrder,CONCAT_ID,Omy_AldA,Omy_AldA,SexID,SexID,SH95489-423,SH95489-423,SH100771-63,SH100771-63
M035494,M355,2C,5-27-2008-DC-104,DC052708104,3038,,Oncorhynchus,mykiss,60,2.6,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1198, Upper caudal clip",M035494,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 350m,M035494,MPQ,2C,M355,MPQ,2C,24,11,M355,11,MPQ_M355_2C,4,4,7,6,3,1,4,4
M035495,M355,2D,5-27-2008-DC-187,DC052708187,3038,,Oncorhynchus,mykiss,54,1.5,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1209, Upper caudal clip",M035495,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 550m,M035495,MPQ,2D,M355,MPQ,2D,36,12,M355,12,MPQ_M355_2D,4,4,7,6,3,1,4,1
M035496,M355,2E,5-27-2008-DC-219,DC052708219,3038,,Oncorhynchus,mykiss,62,2.8,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1221, Upper caudal clip",M035496,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 625m,M035496,MPQ,2E,M355,MPQ,2E,48,13,M355,13,MPQ_M355_2E,4,4,7,6,3,1,4,4
M035497,M355,2F,5-27-2008-MSBC-2,MS0527082,3038,,Oncorhynchus,mykiss,61,2.3,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 981, Upper caudal clip",M035497,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 0m,M035497,MPQ,2F,M355,MPQ,2F,60,14,M355,14,MPQ_M355_2F,3,4,6,6,1,1,4,4
M035498,M355,2G,5-28-2008-MSBC-185,MS052808185,3038,,Oncorhynchus,mykiss,134,30.5,,,,,,152318891,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7371",M035498,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 425m,M035498,MPQ,2G,M355,MPQ,2G,72,15,M355,15,MPQ_M355_2G,3,4,7,6,1,1,4,1
M035499,M355,2H,5-28-2008-MSBC-415,MS052808415,3038,,Oncorhynchus,mykiss,55,1.9,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1056, Upper caudal clip",M035499,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 1025m,M035499,MPQ,2H,M355,MPQ,2H,84,16,M355,16,MPQ_M355_2H,4,4,6,6,3,1,4,1
M035500,M355,3A,5-28-2008-MSBC-416,MS052808416,3038,,Oncorhynchus,mykiss,50,1.2,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1057, Upper caudal clip",M035500,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 1025m,M035500,MPQ,3A,M355,MPQ,3A,2,17,M355,17,MPQ_M355_3A,3,4,7,6,3,1,1,1
M035501,M355,3B,5-28-2008-MSBC-431,MS052808431,3038,,Oncorhynchus,mykiss,56,2,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1059, Upper caudal clip",M035501,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 1050m,M035501,MPQ,3B,M355,MPQ,3B,13,18,M355,18,MPQ_M355_3B,4,4,7,6,3,1,4,1
M035502,M355,3C,5-28-2008-MSBC-456,MS052808456,3038,,Oncorhynchus,mykiss,60,2.6,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1064, Upper caudal clip",M035502,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 1125m,M035502,MPQ,3C,M355,MPQ,3C,25,19,M355,19,MPQ_M355_3C,3,4,6,6,3,1,4,1
M035503,M355,3D,5-28-2008-UBC-23,UBC05280823,3038,,Oncorhynchus,mykiss,71,4.6,,,,,,9.82009E+14,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7545",M035503,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 75m,M035503,MPQ,3D,M355,MPQ,3D,37,20,M355,20,MPQ_M355_3D,3,4,6,6,3,3,4,1
M035504,M355,3E,5-28-2008-UBC-26,UBC05280826,3038,,Oncorhynchus,mykiss,61,2.4,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1073, Upper caudal clip",M035504,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 100m,M035504,MPQ,3E,M355,MPQ,3E,49,21,M355,21,MPQ_M355_3E,4,4,7,6,3,1,4,4
M035505,M355,3F,5-28-2008-UBC-37,UBC05280837,3038,,Oncorhynchus,mykiss,60,2.5,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1075, Upper caudal clip",M035505,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 125m,M035505,MPQ,3F,M355,MPQ,3F,61,22,M355,22,MPQ_M355_3F,3,4,7,6,3,1,4,1
M035506,M355,3G,5-28-2008-UBC-105,UBC052808105,3038,,Oncorhynchus,mykiss,55,1.9,,,,,,,5/28/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1092, Upper caudal clip",M035506,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 325m,M035506,MPQ,3G,M355,MPQ,3G,73,23,M355,23,MPQ_M355_3G,3,4,6,6,3,1,4,4
M035507,M355,3H,5-29-2008-UBC-165,UBC052908165,3038,,Oncorhynchus,mykiss,59,2.2,,,,,,,5/29/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1109",M035507,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 450m,M035507,MPQ,3H,M355,MPQ,3H,85,24,M355,24,MPQ_M355_3H,3,4,7,6,3,1,4,1
M035508,M355,4A,5-29-2008-UBC-169,UBC052908169,3038,,Oncorhynchus,mykiss,205,103.6,,,,,,152315336,5/29/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7591",M035508,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 450m,M035508,MPQ,4A,M355,MPQ,4A,3,25,M355,25,MPQ_M355_4A,3,3,7,6,3,3,4,1
M035509,M355,4B,5-29-2008-UBC-242,UBC052908242,3038,,Oncorhynchus,mykiss,61,2.8,,,,,,,5/29/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1134, Upper caudal clip",M035509,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 650m,M035509,MPQ,4B,M355,MPQ,4B,14,26,M355,26,MPQ_M355_4B,4,4,6,6,3,1,4,1
M035934,M359,9C,DC-053006-142,DC053006142,3038,Big Creek Gender ID,Oncorhynchus,mykiss,133,27.9,,,,,,140738766,5/30/06,,"AC, HS",7/14/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 18",M035934,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 550m,M035934,MPQ,4C,M359,MPQ,4C,26,27,M359,67,MPQ_M359_4C,4,4,6,6,1,1,4,1
M035100,M351,1A,DC-052306-28,DC05230628,3038,Big Creek Gender ID,Oncorhynchus,mykiss,226,147.6,Male,,,,,138619943,5/23/06,,AC,7/9/09,,"Gender ID samples (gender known), Notes: M-R, T/S, Database number: 406",M035100,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 200m,M035100,MKL,1A,M351,MLA+NTCs,3G,73,23,M351,1,MKL_M351_1A,3,3,7,6,3,1,4,1
M035101,M351,1B,MS-052306-27,MS05230627,3038,Big Creek Gender ID,Oncorhynchus,mykiss,208,79.7,Male,,,,,140738298,5/23/06,,AC,7/9/09,,"Gender ID samples (gender known), Notes: M-R, T/S; ripe male, Database number: 1140",M035101,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,Running distance from bottom of reach: 125m,M035101,MKL,1B,M351,MKL,1B,11,2,M351,2,MKL_M351_1B,4,4,7,6,3,3,1,1
M035102,M351,1C,MS-052406-52,MS05240652,3038,Big Creek Gender ID,Oncorhynchus,mykiss,135,36.3,Male,,,,,140738289,5/24/06,,AC,7/9/09,,"Gender ID samples (gender known), Notes: M-R, T/S; ripe male, Database number: 1131",M035102,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,"Reach 4, Running distance from bottom of reach: 325m",M035102,MKL,1C,M351,MKL,1C,23,3,M351,3,MKL_M351_1C,4,4,7,6,1,1,4,1
M035103,M351,1D,DC-053006-152,DC053006152,3038,Big Creek Gender ID,Oncorhynchus,mykiss,190,84.5,Male,,,,,140739400,5/30/06,,AC,7/9/09,,"Gender ID samples (gender known), Notes: M-R, T/S; ripe male, Database number: 1412",M035103,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 575m,M035103,MKL,1D,M351,MKL,1D,35,4,M351,4,MKL_M351_1D,4,4,7,6,3,3,4,1
M035104,M351,1E,UBC-101107-200,UBC101107200,3038,Big Creek Gender ID,Oncorhynchus,mykiss,215,99.8,Male,,,,,152219150,10/11/07,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, 982009101940846, Database number: 3904",M035104,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,Running distance from bottom of reach: 400m,M035104,MKL,1E,M351,MKL,1E,47,5,M351,5,MKL_M351_1E,3,4,7,6,3,3,4,1
M035105,M351,1F,DC-052008-243,DC052008243,3038,Big Creek Gender ID,Oncorhynchus,mykiss,222,161.8,Male,,,,,141765920,5/20/08,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 2095",M035105,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 650m,M035105,MKL,1F,M351,MKL,1F,59,6,M351,6,MKL_M351_1F,3,4,7,6,3,3,1,1
M035106,M351,1G,UBC-052108-75,UBC05210875,3038,Big Creek Gender ID,Oncorhynchus,mykiss,198,98.6,Male,,,,,152219182,5/21/08,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 6052",M035106,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,Running distance from bottom of reach: 175m,M035106,MKL,1G,M351,MKL,1G,71,7,M351,7,MKL_M351_1G,4,4,7,6,3,1,4,1
M035107,M351,1H,UBC-052108-109,UBC052108109,3038,Big Creek Gender ID,Oncorhynchus,mykiss,222,161.5,Male,,,,,152318702,5/21/08,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 7175",M035107,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,Running distance from bottom of reach: 250m,M035107,MKL,1H,M351,MKL,1H,83,8,M351,8,MKL_M351_1H,3,4,7,6,3,1,4,4
M035108,M351,2A,UBC-052808-89,UBC05280889,3038,Big Creek Gender ID,Oncorhynchus,mykiss,217,113,Male,,,,,138619581,5/28/08,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 258",M035108,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,Running distance from bottom of reach: 250m,M035108,MKL,2A,M351,MKL,2A,1,9,M351,9,MKL_M351_2A,3,4,7,6,3,3,4,4
M035109,M351,2B,UBC-052908-235,UBC052908235,3038,Big Creek Gender ID,Oncorhynchus,mykiss,198,101.1,Male,,,,,152218951,5/29/08,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt; Copepods, Database number: 6351",M035109,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,Running distance from bottom of reach: 625m,M035109,MKL,2B,M351,MKL,2B,12,10,M351,10,MKL_M351_2B,3,4,7,6,3,1,4,1
M035110,M351,2C,DC-051209-203,DC051209203,3038,Big Creek Gender ID,Oncorhynchus,mykiss,221,136.5,Male,,,,,9.82009E+14,5/12/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 5203",M035110,California,Monterey,Big Creek,,,Devil's Creek,,,,,,,M035110,MKL,2C,M351,MKL,2C,24,11,M351,11,MKL_M351_2C,3,4,7,6,3,1,4,4
M035111,M351,2D,MS-051309-279,MS051309279,3038,Big Creek Gender ID,Oncorhynchus,mykiss,204,97.8,Male,,,,,152219245,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 5499",M035111,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,,M035111,MKL,2D,M351,MKL,2D,36,12,M351,12,MKL_M351_2D,4,4,7,6,3,1,4,1
M035112,M351,2E,MS-051309-345,MS051309345,3038,Big Creek Gender ID,Oncorhynchus,mykiss,161,55.9,Male,,,,,152318348,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 6714",M035112,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,,M035112,MKL,2E,M351,MKL,2E,48,13,M351,13,MKL_M351_2E,3,4,7,6,3,1,4,1
M035113,M351,2F,MS-051309-388,MS051309388,3038,Big Creek Gender ID,Oncorhynchus,mykiss,179,67.6,Male,,,,,141764921,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 4091",M035113,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,,M035113,MKL,2F,M351,MKL,2F,60,14,M351,14,MKL_M351_2F,4,4,7,6,3,1,4,4
M035114,M351,2G,UBC-051309-20,UBC05130920,3038,Big Creek Gender ID,Oncorhynchus,mykiss,151,43.4,Male,,,,,140738734,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 1280",M035114,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035114,MKL,2G,M351,MKL,2G,72,15,M351,15,MKL_M351_2G,3,4,7,6,3,3,4,1
M035115,M351,2H,UBC-051309-53,UBC05130953,3038,Big Creek Gender ID,Oncorhynchus,mykiss,180,78.6,Male,,,,,152318632,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 7126",M035115,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035115,MKL,2H,M351,MKL,2H,84,16,M351,16,MKL_M351_2H,4,4,7,6,1,1,4,4
M035116,M351,3A,UBC-051309-91,UBC05130991,3038,Big Creek Gender ID,Oncorhynchus,mykiss,203,94.5,Male,,,,,152792027,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 9148",M035116,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035116,MKL,3A,M351,MKL,3A,2,17,M351,17,MKL_M351_3A,3,4,7,6,3,1,4,4
M035117,M351,3B,UBC-051309-105,UBC051309105,3038,Big Creek Gender ID,Oncorhynchus,mykiss,155,49.1,Female,,,,,,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Eggs, Shed tag",M035117,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035117,MKL,3B,M351,MKL,3B,13,18,M351,18,MKL_M351_3B,4,4,6,6,3,3,4,1
M035118,M351,3C,UBC-051309-145,UBC051309145,3038,Big Creek Gender ID,Oncorhynchus,mykiss,172,70.5,Male,,,,,152792497,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt",M035118,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035118,MKL,3C,M351,MKL,3C,25,19,M351,19,MKL_M351_3C,3,4,7,6,3,1,4,4
M035119,M351,3D,UBC-051309-180,UBC051309180,3038,Big Creek Gender ID,Oncorhynchus,mykiss,242,165.7,Male,,,,,138620282,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 737",M035119,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035119,MKL,3D,M351,MKL,3D,37,20,M351,20,MKL_M351_3D,3,3,7,6,3,3,4,1
M035120,M351,3E,UBC-051309-191,UBC051309191,3038,Big Creek Gender ID,Oncorhynchus,mykiss,170,65.1,Male,,,,,152219154,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 6128",M035120,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035120,MKL,3E,M351,MKL,3E,49,21,M351,21,MKL_M351_3E,4,4,7,6,3,3,4,4
M035121,M351,3F,UBC-051309-249,UBC051309249,3038,Big Creek Gender ID,Oncorhynchus,mykiss,179,64,Female,,,,,152318723,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Eggs, Database number: 7248",M035121,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035121,MKL,3F,M351,MKL,3F,61,22,M351,22,MKL_M351_3F,3,4,6,6,3,3,4,4
M035122,M351,3G,UBC-051309-263,UBC051309263,3038,Big Creek Gender ID,Oncorhynchus,mykiss,211,113.3,Male,,,,,152791873,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 9089",M035122,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035122,MKL,3G,M351,MKL,3G,73,23,M351,23,MKL_M351_3G,3,4,7,6,3,3,1,1
M035123,M351,3H,UBC-051309-267,UBC051309267,3038,Big Creek Gender ID,Oncorhynchus,mykiss,160,55.2,Male,,,,,152218945,5/13/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 3264",M035123,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035123,MKL,3H,M351,MKL,3H,85,24,M351,24,MKL_M351_3H,4,4,7,6,3,3,4,1
M035124,M351,4A,DC-051909-98,DC05190998,3038,Big Creek Gender ID,Oncorhynchus,mykiss,250,166.3,Male,,,,,138620522,5/19/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 967",M035124,California,Monterey,Big Creek,,,Devil's Creek,,,,,,,M035124,MKL,4A,M351,MKL,4A,3,25,M351,25,MKL_M351_4A,3,3,7,6,1,1,4,4
M035125,M351,4B,MS-051909-200,MS051909200,3038,Big Creek Gender ID,Oncorhynchus,mykiss,160,62.3,Male,,,,,9.82009E+14,5/19/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt",M035125,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,,M035125,MKL,4B,M351,MKL,4B,14,26,M351,26,MKL_M351_4B,3,4,7,6,1,1,4,1
M035126,M351,4C,MS-052009-414,MS052009414,3038,Big Creek Gender ID,Oncorhynchus,mykiss,215,102.9,Male,,,,,138620243,5/20/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt, Database number: 699",M035126,California,Monterey,Big Creek,,,Big Creek,Mainstem,,,,,,M035126,MKL,4C,M351,MKL,4C,26,27,M351,27,MKL_M351_4C,3,4,7,6,3,1,4,4
M035127,M351,4D,UBC-052009-117,UBC052009117,3038,Big Creek Gender ID,Oncorhynchus,mykiss,137,31.5,Male,,,,,152788907,5/20/09,,AC,7/9/09,,"Gender ID samples (gender known), Notes: TW/M-R, Milt",M035127,California,Monterey,Big Creek,,,Big Creek,Upper,,,,,,M035127,MKL,4D,M351,MKL,4D,38,28,M351,28,MKL_M351_4D,4,4,7,6,3,1,1,1
M035128,M351,4E,DC-052306-1,DC0523061,3038,Big Creek Gender ID,Oncorhynchus,mykiss,122,22.3,,,,,,138617636,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 154",M035128,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 0m,M035128,MKL,4E,M351,MKL,4E,50,29,M351,29,MKL_M351_4E,3,4,7,6,1,1,4,1
M035129,M351,4F,DC-052306-3,DC0523063,3038,Big Creek Gender ID,Oncorhynchus,mykiss,44,0.9,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 220",M035129,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 0m,M035129,MKL,4F,M351,MKL,4F,62,30,M351,30,MKL_M351_4F,4,4,6,6,3,1,4,4
M035130,M351,4G,DC-052306-4,DC0523064,3038,Big Creek Gender ID,Oncorhynchus,mykiss,43,0.9,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 221",M035130,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 0m,M035130,MKL,4G,M351,MKL,4G,74,31,M351,31,MKL_M351_4G,4,4,7,6,3,1,4,4
M035131,M351,4H,DC-052306-7,DC0523067,3038,Big Creek Gender ID,Oncorhynchus,mykiss,62,2.9,,,,,,,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T, Database number: 224",M035131,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 0m,M035131,MKL,4H,M351,MKL,4H,86,32,M351,32,MKL_M351_4H,3,4,6,6,1,1,4,1
M035132,M351,5A,DC-052306-11,DC05230611,3038,Big Creek Gender ID,Oncorhynchus,mykiss,134,28.2,,,,,,140738832,5/23/06,,AC,7/9/09,,"Gender ID samples, Notes: M-R, T/S, Database number: 1347",M035132,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 25m,M035132,MKL,5A,M351,MKL,5A,4,33,M351,33,MKL_M351_5A,4,4,7,6,3,3,4,1
