%% These data were copied from the table at http://en.wikipedia.org/wiki/Men's_pole_vault_world_record_progression
%% and then pasted directly into this text file (and these two lines added).
Record	Athlete	Nation	Venue	Date	#[2]
5.85 m	Sergey Bubka	 Soviet Union	Bratislava, Czechoslovakia	May 26, 1984[1]	1
5.88 m	Sergey Bubka	 Soviet Union	Paris, France	June 2, 1984[1]	2
5.90 m	Sergey Bubka	 Soviet Union	London, England	July 13, 1984[1]	3
5.91 m	Thierry Vigneron	 France	Rome, Italy	August 31, 1984[1]	5
5.94 m	Sergey Bubka	 Soviet Union	Rome, Italy	August 31, 1984[1]	4
6.00 m	Sergey Bubka	 Soviet Union	Paris, France	July 13, 1985[1]	5
6.01 m	Sergey Bubka	 Soviet Union	Moscow, Soviet Union	June 8, 1986[1]	6
6.03 m	Sergey Bubka	 Soviet Union	Prague, Czechoslovakia	June 23, 1987[1]	7
6.05 m	Sergey Bubka	 Soviet Union	Bratislava, Czechoslovakia	June 9, 1988[1]	8
6.06 m	Sergey Bubka	 Soviet Union	Nice, France	July 10, 1988[1]	9
6.07 m	Sergey Bubka	 Soviet Union	Shizuoka, Japan	May 6, 1991[1]	10
6.08 m	Sergey Bubka	 Soviet Union	Moscow, Soviet Union	June 9, 1991[1]	11
6.09 m	Sergey Bubka	 Soviet Union	Formia, Italy	July 8, 1991[1]	12
6.10 m	Sergey Bubka	 Soviet Union	Malmö, Sweden	August 5, 1991[1]	13
6.11 m	Sergey Bubka	 Ukraine	Dijon, France	June 13, 1992[1]	14
6.12 m	Sergey Bubka	 Ukraine	Padua, Italy	August 30, 1992[1]	15
6.13 m	Sergey Bubka	 Ukraine	Tokyo, Japan	September 19, 1992[1]	16
6.14 m A[3]	Sergey Bubka	 Ukraine	Sestriere, Italy	July 31, 1994[1]	17
6.16 m i	Renaud Lavillenie	 France	Donetsk, Ukraine	February 15, 2014[4]	1
